High,Low,Medium,task_name,complexity,playerCount,strong_synergy,weak_synergy,gini_coefficient_sum_num_messages,average_positive_bert,sum_num_words,Q1concept_behav,Q3type_1_planning,Q4type_2_generate,Q6type_5_cc,Q7type_7_battle,Q8type_8_performance,Q9divisible_unitary,Q10maximizing,Q11optimizing,Q13outcome_multip,Q14sol_scheme_mul,Q15dec_verifiability,Q16shared_knowledge,Q17within_sys_sol,Q18ans_recog,Q19time_solvability,Q20type_3_type_4,Q22confl_tradeoffs,Q23ss_out_uncert,Q24eureka_question,Q2intel_manip_1,Q21intellective_judg_1,Q5creativity_input_1
1,0,0,Allocating resources to programs,High,3,0.7800255148532896,1.1750171585449554,0.07508012820512819,0.3155624740484575,39.5625,0.0,0.44,0.36,1.0,0.04,0.0,0.24,0.16,0.16,0.0,0.04,0.04,0.04,0.6956521739130435,0.0869565217391304,0.1666666666666666,0.08,0.96,0.36,0.0,0.036,0.196,0.48
1,0,0,Allocating resources to programs,High,6,0.6583542748869959,1.0907301241038057,0.21724693543262355,0.252076160196601,67.22727272727273,0.0,0.44,0.36,1.0,0.04,0.0,0.24,0.16,0.16,0.0,0.04,0.04,0.04,0.6956521739130435,0.0869565217391304,0.1666666666666666,0.08,0.96,0.36,0.0,0.036,0.196,0.48
0,1,0,Allocating resources to programs,Low,3,0.7128024955590528,1.2149930137901708,0.11676114890400602,0.34519241841306686,39.0,0.0,0.44,0.36,1.0,0.04,0.0,0.24,0.16,0.16,0.0,0.04,0.04,0.04,0.6956521739130435,0.0869565217391304,0.1666666666666666,0.08,0.96,0.36,0.0,0.036,0.196,0.48
0,1,0,Allocating resources to programs,Low,6,0.5956912977785843,1.2133484399231813,0.19322165295630764,0.26036199271385085,51.17391304347826,0.0,0.44,0.36,1.0,0.04,0.0,0.24,0.16,0.16,0.0,0.04,0.04,0.04,0.6956521739130435,0.0869565217391304,0.1666666666666666,0.08,0.96,0.36,0.0,0.036,0.196,0.48
0,0,1,Allocating resources to programs,Medium,3,0.7814261918233146,1.3913447787585682,0.0834033613445378,0.2243548283627101,41.05882352941177,0.0,0.44,0.36,1.0,0.04,0.0,0.24,0.16,0.16,0.0,0.04,0.04,0.04,0.6956521739130435,0.0869565217391304,0.1666666666666666,0.08,0.96,0.36,0.0,0.036,0.196,0.48
0,0,1,Allocating resources to programs,Medium,6,0.5231750183928718,1.1777695988222305,0.18057347567417895,0.1970885947271902,55.083333333333336,0.0,0.44,0.36,1.0,0.04,0.0,0.24,0.16,0.16,0.0,0.04,0.04,0.04,0.6956521739130435,0.0869565217391304,0.1666666666666666,0.08,0.96,0.36,0.0,0.036,0.196,0.48
1,0,0,Divergent Association Task,High,3,1.0006019783825506,1.174762620858847,0.033333333333333326,0.254879611,11.777777777777779,0.0,0.125,0.7916666666666666,0.0416666666666666,0.2083333333333333,0.0869565217391304,0.2272727272727272,0.5833333333333334,0.3333333333333333,0.2083333333333333,0.2083333333333333,0.6666666666666666,0.4583333333333333,0.7391304347826086,0.5217391304347826,0.5652173913043478,0.375,0.2083333333333333,1.0,0.0,0.0375,0.4666666666666667,0.7583333333333333
1,0,0,Divergent Association Task,High,6,1.008336314908112,1.2130847505182023,0.10733811171527433,0.2104703770601994,26.235294117647058,0.0,0.125,0.7916666666666666,0.0416666666666666,0.2083333333333333,0.0869565217391304,0.2272727272727272,0.5833333333333334,0.3333333333333333,0.2083333333333333,0.2083333333333333,0.6666666666666666,0.4583333333333333,0.7391304347826086,0.5217391304347826,0.5652173913043478,0.375,0.2083333333333333,1.0,0.0,0.0375,0.4666666666666667,0.7583333333333333
0,1,0,Divergent Association Task,Low,3,0.9711221456650252,1.1544658317931908,0.031818181818181815,0.3499988909772727,19.363636363636363,0.0,0.125,0.7916666666666666,0.0416666666666666,0.2083333333333333,0.0869565217391304,0.2272727272727272,0.5833333333333334,0.3333333333333333,0.2083333333333333,0.2083333333333333,0.6666666666666666,0.4583333333333333,0.7391304347826086,0.5217391304347826,0.5652173913043478,0.375,0.2083333333333333,1.0,0.0,0.0375,0.4666666666666667,0.7583333333333333
0,1,0,Divergent Association Task,Low,6,0.8992774234529521,1.1071649337074898,0.1609179894179894,0.27466977402946424,26.7,0.0,0.125,0.7916666666666666,0.0416666666666666,0.2083333333333333,0.0869565217391304,0.2272727272727272,0.5833333333333334,0.3333333333333333,0.2083333333333333,0.2083333333333333,0.6666666666666666,0.4583333333333333,0.7391304347826086,0.5217391304347826,0.5652173913043478,0.375,0.2083333333333333,1.0,0.0,0.0375,0.4666666666666667,0.7583333333333333
